date,ticker,iv_reference,target_day_to_expiration,target_moneyness,n_fitted_expiries
2021-04-26,AAPL,0.2404438520564167,30,1.0,17
2021-04-27,AAPL,0.23288936981381742,30,1.0,17
2021-04-28,AAPL,0.2786075065181298,30,1.0,17
2021-04-29,AAPL,0.16272664862930097,30,1.0,18
2021-04-30,AAPL,0.22966846077406586,30,1.0,17
2021-05-03,AAPL,0.129112916915647,30,1.0,17
2021-05-04,AAPL,0.2050216686588966,30,1.0,17
2021-05-05,AAPL,0.2495825195504461,30,1.0,17
2021-05-06,AAPL,0.1262335137087842,30,1.0,18
2021-05-07,AAPL,0.19043565958525865,30,1.0,17
2021-05-10,AAPL,0.2150916631852713,30,1.0,17
2021-05-11,AAPL,0.229833413365497,30,1.0,17
2021-05-12,AAPL,0.2997653552332625,30,1.0,18
2021-05-13,AAPL,0.4194091108631521,30,1.0,19
2021-05-14,AAPL,0.1817544423852452,30,1.0,18
2021-05-17,AAPL,0.1859917925833625,30,1.0,18
2021-05-18,AAPL,0.19462562236402128,30,1.0,18
2021-05-19,AAPL,0.17145869831685845,30,1.0,18
2021-05-20,AAPL,0.1562562291736176,30,1.0,18
2021-05-21,AAPL,0.1994250521689875,30,1.0,17
2021-05-24,AAPL,0.1916585533387197,30,1.0,17
2021-05-25,AAPL,0.1781765935424894,30,1.0,17
2021-05-26,AAPL,0.1866240862747984,30,1.0,17
2021-05-27,AAPL,0.18671211168099805,30,1.0,18
2021-05-28,AAPL,0.1807490171118304,30,1.0,18
2021-06-01,AAPL,0.18353398444156468,30,1.0,18
2021-06-02,AAPL,0.16327620794466025,30,1.0,18
2021-06-03,AAPL,0.164275599282216,30,1.0,19
2021-06-04,AAPL,0.19147249090014098,30,1.0,18
2021-06-07,AAPL,0.32016696552012147,30,1.0,18
2021-06-08,AAPL,0.2199107575482203,30,1.0,18
2021-06-09,AAPL,0.22122679266189352,30,1.0,18
2021-06-10,AAPL,0.20039726176880088,30,1.0,19
2021-06-11,AAPL,0.18386449101631747,30,1.0,18
2021-06-14,AAPL,0.1657744423689976,30,1.0,18
2021-06-15,AAPL,0.15500800938464154,30,1.0,18
2021-06-16,AAPL,0.15561616353257324,30,1.0,18
2021-06-17,AAPL,0.1607049712656428,30,1.0,18
2021-06-18,AAPL,0.15480560922413614,30,1.0,17
2021-06-21,AAPL,0.13076891130326526,30,1.0,17
2021-06-22,AAPL,0.18514520731602183,30,1.0,17
2021-06-23,AAPL,0.20269916728686221,30,1.0,17
2021-06-24,AAPL,0.20286933270704977,30,1.0,18
2021-06-25,AAPL,0.19298039088975183,30,1.0,17
2021-06-28,AAPL,0.1695878225072679,30,1.0,17
2021-06-29,AAPL,0.15106199874138546,30,1.0,17
2021-06-30,AAPL,0.1629765523362869,30,1.0,17
2021-07-01,AAPL,0.13096161569136078,30,1.0,18
2021-07-02,AAPL,0.19105730989435496,30,1.0,17
2021-07-06,AAPL,0.14424098907225244,30,1.0,17
2021-07-07,AAPL,0.1252647407165254,30,1.0,17
2021-07-08,AAPL,0.2664935449995909,30,1.0,18
2021-07-09,AAPL,0.23790556251400294,30,1.0,17
2021-07-12,AAPL,0.23974771638402423,30,1.0,17
2021-07-13,AAPL,0.32875320079507137,30,1.0,18
2021-07-14,AAPL,0.3685284344320927,30,1.0,18
2021-07-15,AAPL,0.22760502748366648,30,1.0,18
2021-07-16,AAPL,0.3188122258947734,30,1.0,17
2021-07-19,AAPL,0.277172972334198,30,1.0,17
2021-07-20,AAPL,0.24785030276595058,30,1.0,18
2021-07-21,AAPL,0.30069929366835796,30,1.0,18
